state,mean,sd,q025,q05,q25,q50,q75,q95,q975
Abia,3399218.314,340240.0028,2854677.95,2936647.1,3171483.75,3354010.5,3580015.5,4009294.5,4221311.775
Adamawa,5066720.166,335970.0275,4442035.225,4532702,4829512.5,5054384,5282677,5638874.55,5759276.025
Akwa Ibom,3295233.129,224143.0725,2885384.375,2941454.8,3141063,3287535.5,3438814.5,3679998.25,3765961.3
Anambra,5087727.784,564094.0174,4237443.225,4356007.8,4719296.75,4994952,5350334.75,6125479.75,6499533
Bauchi,8397594.725,765654.8063,7005057.95,7211974.2,7861956.25,8361083,8885600.75,9714176.15,9996555.175
Bayelsa,1075952.871,65662.66426,955216.775,972754.65,1029846.5,1073637,1119468.75,1188257.05,1211940.825
Benue,9934385.088,1102108.294,7892008.3,8350052.35,9306891.25,9883530.5,10497693.25,11704253.85,12286694.6
Borno,6026749.065,447311.1884,5100481.2,5265797.8,5734937.25,6042711.5,6322511.25,6739858.65,6888843.125
Cross River,2016617.516,146173.4537,1748727.75,1788614.55,1918408.75,2008592,2105889.25,2266225.45,2329252.275
Delta,3982746.409,327335.2217,3384468.6,3477979.45,3763142,3964622.5,4179564.25,4544868.6,4687868.725
Ebonyi,3172692.289,240010.5131,2743010.875,2802690.45,3005222.25,3160118.5,3325861.5,3588176.2,3675557.5
Edo,3889560.606,250122.6629,3425319.45,3500514.6,3717747.5,3880299,4050087.75,4317863.55,4406418.325
Ekiti,1662045.55,156625.4319,1381192.975,1423502.45,1558653.25,1653000.5,1754530.75,1934243.8,2004488.825
Enugu,4405177.421,428717.9091,3725321.375,3815459.55,4115189.25,4351006,4632711.5,5171036.4,5436420.9
"Fct, Abuja",4575726.274,282195.1388,4054242.625,4131274.75,4379485.5,4561965,4760282.25,5057421.3,5171643.65
Gombe,4042323.652,346916.8241,3386190.95,3488690.4,3807371,4034085.5,4266431,4625019.45,4753333.6
Imo,5750515.099,604803.0554,4794851.675,4928675.45,5341585.5,5668076.5,6069005.75,6836137.05,7254912.8
Jigawa,6176948.468,495139.7036,5270078.875,5413009.1,5842775.75,6151719.5,6486343.5,7022917.6,7214807.925
Kaduna,10849204.21,711320.4436,9500802.25,9719819.85,10364012.25,10820972.5,11303095.25,12063756.95,12305037.58
Kano,17619974.97,1315669.404,15252398.15,15591542,16699708.25,17546537,18451549.75,19862170.5,20408294.93
Katsina,9413356.854,745969.4311,8043334.375,8247683.45,8910987,9372103.5,9889449.5,10686973.9,10952759.05
Kebbi,5479075.097,461764.5208,4626210.525,4762149.65,5159379,5459450,5779637,6261753.85,6431826.575
Kogi,3801840.686,312454.3111,3176752.9,3294157.6,3601893.75,3802890.5,4002127,4311234.1,4434562.45
Kwara,4688720.59,411130.8394,3886041.8,4036436.4,4434798.25,4683892,4934971.75,5366925.9,5530882.15
Lagos,9565742.56,680791.4513,8338677.85,8513446.25,9087589.75,9537273,10005038.75,10738469.9,11011250.53
Nasarawa,4731404.762,363559.0237,4009519.525,4156261.1,4509848.25,4724904,4944277.75,5327154.2,5477170.375
Niger,10223172.74,914398.1403,8516748.9,8884100.25,9694097.75,10177610,10709568.5,11712904.85,12186193.83
Ogun,8133373.334,733002.6723,6814819.025,7018898.5,7641863.75,8085743.5,8559970.5,9419308.85,9728018.75
Ondo,3357079.796,285371.5699,2842514.25,2920311.8,3165932.25,3340964.5,3527805.25,3851233.8,3981401.475
Osun,4617429.642,441680.8858,3819864.05,3945136.85,4323279.25,4586727,4882972,5380296.5,5581798.35
Oyo,6980278.027,435327.5901,6163783.825,6290468.3,6680848.25,6967471,7262026,7723793.4,7879987.725
Plateau,6979820.442,1181836.404,4981165.725,5261040,6198688.5,6855738,7629043,9083813.2,9675444.575
Rivers,5117034.806,406545.5348,4365924.175,4486180.45,4841561,5098263.5,5367869,5801637.6,5989953.55
Sokoto,7129748.469,519113.2499,6180385.7,6315853.6,6777485.25,7104759.5,7454344.5,8012684.85,8205968.725
Taraba,6051345.226,482787.2929,5072363.9,5241636.55,5734381.75,6062057.5,6369288.25,6835339.1,6987492.5
Yobe,4905201.542,430565.2525,4114773.75,4223472.4,4609180,4887746,5181964.75,5649584,5797998.425
Zamfara,5076596.14,470585.5757,4215277.15,4344215.25,4752026.75,5051410,5373707,5880969.45,6071081.525
